species,year,BO21_tempmax_bdmin_mean,central_depth
Modiolus modiolus,2015,16.5094526179754,22.87
Modiolus modiolus,2017,16.5094526179754,NA
Modiolus modiolus,2018,16.5094526179754,NA
Modiolus modiolus,2020,16.5094526179754,20.5
Modiolus modiolus,2022,16.5094526179754,NA
Modiolus modiolus,2023,16.5094526179754,NA
Mytilus edulis,1991,19.3869753147433,21.5082351916152
Mytilus edulis,1995,19.3869753147433,18.47322983859384
Mytilus edulis,2001,19.3869753147433,17.297889814380877
Mytilus edulis,2002,19.3869753147433,18.276721664914078
Mytilus edulis,2004,19.3869753147433,22.969925617815672
Mytilus edulis,2006,19.3869753147433,7.470639256975919
Mytilus edulis,2008,19.3869753147433,14.982644499034437
Mytilus edulis,2009,19.3869753147433,15.18153053922494
Mytilus edulis,2010,19.3869753147433,11.554433159462805
Mytilus edulis,2012,19.3869753147433,23.27838693279385
Mytilus edulis,2013,19.3869753147433,18.374508007831672
Mytilus edulis,2014,19.3869753147433,16.62208073288315
Mytilus edulis,2015,19.3869753147433,10.93389166692258
Mytilus edulis,2017,19.3869753147433,25.900000000000002
Mytilus edulis,2018,19.3869753147433,15.329212646825798
Mytilus edulis,2020,19.3869753147433,18.446257772538893
Mytilus edulis,2022,19.3869753147433,18.563662009709308
Mytilus edulis,2023,19.3869753147433,16.91703109973081
Unidentified red fleshy crust,1991,NA,14.577720319330597
Unidentified red fleshy crust,1995,NA,22.17466396175944
Unidentified red fleshy crust,2001,NA,17.117918451941975
Unidentified red fleshy crust,2002,NA,14.07920367792992
Unidentified red fleshy crust,2004,NA,17.07116692758049
Unidentified red fleshy crust,2006,NA,15.57856746041084
Unidentified red fleshy crust,2008,NA,24.338422958283775
Unidentified red fleshy crust,2009,NA,19.80966058790601
Unidentified red fleshy crust,2010,NA,13.21487185742998
Unidentified red fleshy crust,2012,NA,8.398812329469365
Unidentified red fleshy crust,2013,NA,14.31140097572954
Unidentified red fleshy crust,2014,NA,17.186013983243626
Unidentified red fleshy crust,2015,NA,8.265702415048606
Unidentified red fleshy crust,2017,NA,7.707088422733838
Unidentified red fleshy crust,2018,NA,10.377883326265264
Unidentified red fleshy crust,2020,NA,8.028062427772433
Unidentified red fleshy crust,2022,NA,7.387934436948616
Unidentified red fleshy crust,2023,NA,13.13171144790458
